"Nombre","Precio de venta","Cantidad a mano","Código de barras"
"
Cerveza Becker 470cc","800.0","24.0","7802130000669"
" ALKA 2 MANZANA","400.0","-1.0","77989086"
" ENCENDEDOR ZENGAZ","4300.0","0.0","4895151823129"
" KENT NEO AZUL 20U","4800.0","14.0","78026384"
" LAYS CORTE AMERICANO 350G","3500.0","6.0","7802000017629"
" OREO 36G","300.0","37.0","7590011251100"
" PACK ESPONJA WINNEX","300.0","2.0","8698898464732"
" SALCHICHAS PREMIUM RECETA DEL ABUELO 5 UNIDADES","1500.0","22.0","7801930007120"
"1+1 CHOCO KRISPIS 140GR","750.0","2.0","7802900332419"
"1+1 ZUCARITAS","750.0","-9.0","7802900332402"
"120 CABERNET SAUVIGNON 1,5LT BOT","3400.0","7.0","7804330352111"
"120 HEROES CARTON 1L","2250.0","0.0","7804330341115"
"120 TRES MEDALLAS CABERNET SAUVIGNON","900.0","0.0","7804330004898"
"1865 CARMENERE 2020 750ML","9990.0","-1.0","7804300123413"
"30/70 FRENK  TROPICAL GIN","2000.0","0.0","7804677380020"
"40/60 FRENK BLANCA 350ML","2000.0","11.0","7804677380013"
"40/60 FRENK NEGRA ","2000.0","10.0","7804677380006"
"ABRIDOR MULTIUSO","1000.0","2.0","5060054612012"
"ACE NATURALS MANZANILLA 400G","1400.0","0.0","7500435146364"
"ACEITE DE REYES 900ML","1800.0","14.0","7804609020062"
"ACEITE NATURA 900ML","2800.0","15.0","7790272001005"
"ACEITE SALAD 5L","10450.0","0.0","7794870055996"
"ACEITUNAS VERDES LAMINADAS","1600.0","7.0","1970a018"
"ACETONA","800.0","0.0",""
"ACONDICIONADOR BALLERINA  PALTA/AGUACATE 750ML","1900.0","1.0","7804920003232"
"ACONDICIONADOR BALLERINA ACCION HIDRATANTE","1.0","3.0","7804920006189"
"ACONDICIONADOR BALLERINA DETOX CARBON ACTIVADO Y MENTA","1900.0","4.0","7804920007469"
"ACONDICIONADOR BALLERINA GRANADA 750ML","1900.0","3.0","7804920003218"
"ACONDICIONADOR ELVIVE REPARACION TOTAL","4190.0","0.0","7509552848014"
"ACONDICIONADOR FORTIFICANTE CAIDA","3500.0","3.0","7509552848045"
"ACONDICIONADOR MANZANILLA BALLERINA","450.0","0.0","7804920008114"
"ACONDICIONADOR NUTICION INTENSA ELVIVE","4200.0","2.0","7509552908558"
"ACONDICIONADOR PANTENE RESTAURACION","1600.0","0.0","7501006721294"
"ACONDICONADOR ELVIVE OLEO EXTRAORDINARIO","4200.0","1.0","7509552908497"
"ACONFOODS CHORIZO PARRILLERO","2550.0","3.0",""
"ACTIVADOR COLOR","800.0","0.0","7804947001891"
"ADHECIVO ACERO LIQUIDO PATEL","2500.0","4.0","7804663360265"
"AGUA ARDIENTE SAM ALFONSO 1000CC","3500.0","8.0",""
"AGUA JAHUEL  BERRIES 1.6L","950.0","17.0","7804625210270"
"AGUA JAHUEL VIDRIO 350CC","700.0","-2.0","7804625210133"
"AGUA MINERAL CACHANTUN CON GAS 1.6 LITROS","1100.0","15.0","7801620852955"
"AGUA MINERAL CACHANTUN SIN GAS 1.5 LITROS","1100.0","-4.0","7801620852962"
"AGUA MINERAL CON GAS JAHUEL 500CC","600.0","24.0","7804625210072"
"AGUA MINERAL VITAL 1.6 LITROS CON GAS","1100.0","2.0","7802820020953"
"AGUA MINERAL VITAL 1/2 LITRO SIN GAS","600.0","10.0","7802820600209"
"AGUA MINERAL VITAL GASIFICADA 600 ML","600.0","14.0","7802820600100"
"AGUA MINERAL VITAL SIN GAS 1.6 LITROS","1100.0","-4.0","7802820021950"
"AJI CREMA","900.0","6.0","1970aK016"
"AJI DON JUAN 100G","500.0","20.0","7802351221003"
"AL TEXTILE CLEAN  750ML","6000.0","1.0","5900950764906"
"ALCAPARRAS","1950.0","1.0","7802410070801"
"ALFAJOR BON O BON CHOC BLANCO","600.0","38.0","7790040613607"
"ALFAJOR BON O BON CHOCOLATE","600.0","32.0","7790040613706"
"ALFAJOR DE MAICENA","450.0","-1.0","ALFAJOR DE MAICENA"
"ALFAJOR LAGUITO 70G","600.0","8.0","7803403000737"
"ALFI 2 UNIDADES 40G","500.0","5.0","7803473612229"
"ALGABO CREMA HIDRATANTE 90ML","1400.0","0.0","7791274005114"
"ALGABO FOOT","1400.0","0.0","7791274004377"
"ALIÑO COMPLETO EDRA 15G","400.0","0.0","7802420004636"
"ALKA 2 MENTOL","400.0","0.0","77983428"
"ALKA MIEL 29G","400.0","0.0","78020153"
"ALKA MINTS","400.0","0.0","77559142"
"ALMENDRAS CONFITADAS TERRANO","2000.0","0.0","7802408005440"
"ALOE 500ML COCO","1200.0","4.0","6971873891382"
"ALOE 500ML GRANADA","1200.0","8.0","6971549920156"
"ALOE 500ML MANGO","1200.0","12.0","6971549920033"
"ALOE ARANDANO 500ML","1200.0","2.0","6971549920163"
"ALOE COCO 500ML","1200.0","4.0","6971549920088"
"ALOE DURAZNO 500ML","1200.0","5.0","6971549920071"
"ALOE FRUTILLA","1200.0","3.0","6971549920057"
"ALOE ORIGINAL 500ML","1200.0","5.0","6971549920026"
"ALUFOIL 4M","1550.0","5.0","7801875150233"
"ALUPLAST 15M","1300.0","10.0","7801875150455"
"AMBERRIES 25G AMBROSOLI","300.0","-1.0","7802200135741"
"AMBIENTAL POETT  FLORES DE PRIMAVERA","1900.0","2.0","7793253004248"
"AMBIENTAL POETT ESPIRUTU PLAY","1900.0","1.0","7793253004323"
"AMBIENTAL POETT LAVANDA","1900.0","2.0","7793253004231"
"AMBIENTAL POETT SOLO PARA TI","1900.0","1.0","7793253004279"
"AMERICANA EN VINAGRE DON JUAN 360G","1200.0","0.0","7802351421205"
"AMP. MEGABRIGHT 7w","1300.0","3.0","7804660913419"
